model,family,accuracy,macro_f1
feature_ensemble,ensemble,0.3886966551326413,0.3414625368868856
feature_mlp,engineered features,0.37831603229527105,0.3306423514279395
feature_fusion,engineered features,0.36101499423298733,0.30335158466273726
feature_resnet,engineered features,0.3517877739331027,0.3135119003616631
cnn_lstm,raw sequence,0.3192,0.2993
cnn_bilstm,raw sequence,0.3013,0.2916
cnn_bigru,raw sequence,0.2965811965811966,0.2842053647683301
dual_branch_bigru,raw sequence,0.294017094017094,0.2811002178001903
transformer,raw sequence,0.2925,0.2788
cnn1d,raw sequence,0.2856837606837606,0.2639037460745869
cnn_gru,raw sequence,0.2611111111111111,0.2554552700195775
